Nickname,Fecha Nac.,Sexo,Ciudad,Nombre,Apellido,Email,Contraseña,Interés1,Interés2,Interés3,Interés4,Interés5,Longitud,Latitud
Pazke,02/10/94,F,Buenos Aires,Nancy,Salerno,gdcadar3@latinmail.com,021a2223a,python,cerveza,fotografia,musica,racing,"-58,4465056434","-34,6281939922"
Rupporet,05/01/92,I,Buenos Aires,Soraya,Danus,fesoraya4@yopmail.com,022a2223a,musica,fotografia,racing,python,internet,"-58,4443821072","-34,5792818347"
Butiefull,10/05/93,F,Buenos Aires,Eugenia María,Taverner ,apherbella15@yopmail.com,023a2223a,futbol,fotografia,libros,viajes,basquet,"-58,3729224166","-34,6045515788"
Wooka1992,02/03/92,F,Buenos Aires,Daniella,Salma Cancino,asalma24@latinmail.com,024a2223a,salud,futbol,comedias,ciencia,,"-58,467088687","-34,5841246764"
Defourne,18/08/93,F,Buenos Aires,Gianina,Oleas,emgianina12@telefonica.net,025a2223a,asado,cerveza,humor,ciencia,,"-58,4104100534","-34,6004473684"
Lentep,20/09/91,I,Buenos Aires,Joaquin,Laforga ,cejoaquim4@yahoo.com,026a2223a,libros,pizza,futbol,python,,"-58,3730664168","-34,5998618226"
Trosfined,06/12/90,I,Buenos Aires,Gustavo,Tura Alecha ,acalecha2@aol.com,027a2223a,fotografia,python,humor,comedias,,"-58,3658514363","-34,6144452303"
Stoult,23/02/91,M,Buenos Aires,Santino,Atochero,fkatochero10@live.com,028a2223a,cerveza,libros,fotografia,viajes,,"-58,3657224708","-34,6155486953"
Haind1985,28/07/85,I,Buenos Aires,Pascual,Bonda,pascualw21@aol.com,029a2223a,asado,futbol,comedias,fotografia,internet,"-58,4321779037","-34,6059051283"
Prefuld,12/09/86,I,Buenos Aires,Paolo,Sampe,jppaolo15@latinmail.com,030a2223a,cerveza,python,humor,ciencia,programacion,"-58,3845246836","-34,6202236066"
Demsen,07/03/85,M,Buenos Aires,Rodrigo,Blanquet,hrbot17@yopmail.com,031a2223a,salud,pizza,python,comedias,,"-58,3963517705","-34,5884181521"
Russita90,13/07/90,F,Buenos Aires,Josefina Nora,Sorigue,josefinanora19@gmail.com,032a2223a,musica,futbol,libros,asado,,"-58,4395003281","-34,544702707"
